Appliance Name: cfeis01nas83
Appliance Product: Oracle ZFS Storage ZS4-4
Appliance Version: 2013.06.05.6.12,1-1.3
Max Percent CPU utilization:  98
Max CPU utilization time:  2017-11-7 05:52:20 98 - -
Average CPU utilization:  7.575734077151
Average ARC hit ratio:  93.644332820221
Lowest ARC hit ratio:  64
Top 30 intervals of disks above 95% utilization: 
                                         1 1524NMT055/HDD 8
                                         1 1524NMT04N/HDD 6
                                         1 1524NMT04L/HDD 5
                                         1 1524NMT04L/HDD 4
                                         1 1524NMT055/HDD 2
                                         1 1524NMT055/HDD 2
                                         1 1524NMT04N/HDD 1
                                         1 cfeis01nas83/HDD 0
                                         1 cfeis01nas83/HDD 0
                                         1 cfeis01nas83/HDD 0
                                         1 cfeis01nas83/HDD 0
                                         1 cfeis01nas83/HDD 0
                                         1 cfeis01nas83/HDD 0
                                         1 cfeis01nas83/HDD 0
                                         1 cfeis01nas83/HDD 0
                                         1 cfeis01nas83/HDD 0
                                         1 cfeis01nas83/HDD 0
                                         1 cfeis01nas83/HDD 0
                                         1 cfeis01nas83/HDD 0
                                         1 cfeis01nas83/HDD 0
                                         1 cfeis01nas83/HDD 0
                                         1 cfeis01nas83/HDD 0
                                         1 cfeis01nas83/HDD 0
                                         1 cfeis01nas83/HDD 0
                                         1 cfeis01nas83/HDD 0
                                         1 cfeis01nas83/HDD 0
                                         1 cfeis01nas83/HDD 0
                                         1 cfeis01nas83/HDD 0
                                         1 cfeis01nas83/HDD 0
                                         1 cfeis01nas83/HDD 0
ZFS Data Analysis: 
Listing ZFS attributes: 
pool83a  allocated      95.2T                                            -
pool83a  cachefile      /var/ak/stash/com/sun/ak/xmlrpc/zfs/pool83a/obj  local
pool83a  capacity       62%                                              -
pool83a  dedupratio     1.00x                                            -
pool83a  delegation     on                                               default
pool83a  free           57.1T                                            -
pool83a  health         ONLINE                                           -
pool83a  size           152T                                             -
pool83a  version        35                                               default
ZFS Snapshot Count:  35
ZFS filesystem count:  18
Network Data Analysis: 
Dladm output: 
LINK                CLASS     MTU    STATE    OVER
ixgbe4              phys      1500   up       --
ixgbe5              phys      1500   up       --
ixgbe0              phys      1500   up       --
ixgbe2              phys      1500   down     --
e1000g0             phys      1500   up       --
ixgbe7              phys      1500   up       --
ixgbe1              phys      1500   up       --
ixgbe6              phys      1500   up       --
ixgbe3              phys      1500   down     --
usbecm0             phys      1500   up       --
aggr1               aggr      1500   up       ixgbe6 ixgbe4 ixgbe5 ixgbe7
vnic2               vnic      1500   up       aggr1
vnic1               vnic      1500   up       aggr1
vnic3               vnic      1500   up       aggr1
vnic4               vnic      1500   up       aggr1
iSCSI Max operations KB/sec :  OPS/SEC
Max iSCSI Latency: 
Max iSCSI I/O size:  -
DATE/TIME               OPS/SEC    OPS/SEC BREAKDOWN
2017-11-7 21:19:55            0          - -
2017-11-7 21:19:54            0          - -
2017-11-7 21:19:53            0          - -
2017-11-7 21:19:52            0          - -
2017-11-7 21:19:51            0          - -
2017-11-7 21:19:50            0          - -
2017-11-7 21:19:49            0          - -
2017-11-7 21:19:48            0          - -
2017-11-7 21:19:47            0          - -
2017-11-7 21:19:46            0          - -
2017-11-7 21:19:45            0          - -
2017-11-7 21:19:44            0          - -
2017-11-7 21:19:43            0          - -
2017-11-7 21:19:42            0          - -
2017-11-7 21:19:41            0          - -
2017-11-7 21:19:40            0          - -
2017-11-7 21:19:39            0          - -
2017-11-7 21:19:38            0          - -
2017-11-7 21:19:37            0          - -
2017-11-7 21:19:36            0          - -
2017-11-7 21:19:35            0          - -
2017-11-7 21:19:34            0          - -
2017-11-7 21:19:33            0          - -
2017-11-7 21:19:32            0          - -
2017-11-7 21:19:31            0          - -
2017-11-7 21:19:30            0          - -
2017-11-7 21:19:29            0          - -
2017-11-7 21:19:28            0          - -
2017-11-7 21:19:27            0          - -
2017-11-7 21:19:26            0          - -
2017-11-7 21:19:25            0          - -
2017-11-7 21:19:24            0          - -
2017-11-7 21:19:23            0          - -
2017-11-7 21:19:22            0          - -
2017-11-7 21:19:21            0          - -
2017-11-7 21:19:20            0          - -
2017-11-7 21:19:19            0          - -
2017-11-7 21:19:18            0          - -
2017-11-7 21:19:17            0          - -
2017-11-7 21:19:16            0          - -
2017-11-7 21:19:15            0          - -
2017-11-7 21:19:14            0          - -
2017-11-7 21:19:13            0          - -
2017-11-7 21:19:12            0          - -
2017-11-7 21:19:11            0          - -
2017-11-7 21:19:10            0          - -
2017-11-7 21:19:09            0          - -
2017-11-7 21:19:08            0          - -
2017-11-7 21:19:07            0          - -
2017-11-7 21:19:06            0          - -
2017-11-7 21:19:05            0          - -
2017-11-7 21:19:04            0          - -
2017-11-7 21:19:03            0          - -
2017-11-7 21:19:02            0          - -
2017-11-7 21:19:01            0          - -
2017-11-7 21:19:00            0          - -
2017-11-7 21:18:59            0          - -
2017-11-7 21:18:58            0          - -
2017-11-7 21:18:57            0          - -
2017-11-7 21:18:56            0          - -
2017-11-7 21:18:55            0          - -
2017-11-7 21:18:54            0          - -
2017-11-7 21:18:53            0          - -
2017-11-7 21:18:52            0          - -
2017-11-7 21:18:51            0          - -
2017-11-7 21:18:50            0          - -
2017-11-7 21:18:49            0          - -
2017-11-7 21:18:48            0          - -
2017-11-7 21:18:47            0          - -
2017-11-7 21:18:46            0          - -
2017-11-7 21:18:45            0          - -
2017-11-7 21:18:44            0          - -
2017-11-7 21:18:43            0          - -
2017-11-7 21:18:42            0          - -
2017-11-7 21:18:41            0          - -
2017-11-7 21:18:40            0          - -
2017-11-7 21:18:39            0          - -
2017-11-7 21:18:38            0          - -
2017-11-7 21:18:37            0          - -
2017-11-7 21:18:36            0          - -
2017-11-7 21:18:35            0          - -
2017-11-7 21:18:34            0          - -
2017-11-7 21:18:33            0          - -
2017-11-7 21:18:32            0          - -
2017-11-7 21:18:31            0          - -
2017-11-7 21:18:30            0          - -
2017-11-7 21:18:29            0          - -
